model,q,p,mean_psnr,mean_ms_ssim,mean_mse,mean_bpp,mean_q_hat
bmshj2018-factorized,1.0,,26.908892,0.909991,0.002414,0.122379,0.315526
bmshj2018-factorized,2.0,,28.217462,0.936037,0.001808,0.188204,0.116447
bmshj2018-factorized,3.0,,29.616946,0.955467,0.001321,0.287321,0.157648
bmshj2018-factorized,4.0,,31.2768,0.970358,0.000899,0.439708,0.06272
bmshj2018-factorized,5.0,,32.955842,0.980642,0.000605,0.647138,0.039114
bmshj2018-factorized,6.0,,35.380808,0.987882,0.000328,0.965325,0.028507
bmshj2018-hyperprior,1.0,,27.581688,0.917377,0.001984,0.131129,0.133575
bmshj2018-hyperprior,2.0,,29.196883,0.942059,0.001357,0.208704,0.055998
bmshj2018-hyperprior,3.0,,30.97165,0.961058,0.00089,0.319488,0.095238
bmshj2018-hyperprior,4.0,,32.839079,0.974881,0.00057,0.4777,0.082252
bmshj2018-hyperprior,5.0,,34.526267,0.983561,0.000386,0.667192,0.038964
bmshj2018-hyperprior,6.0,,36.74315,0.98925,0.000223,0.937229,0.021518
cheng2020-anchor,1.0,,28.599775,0.923326,0.00155,0.117438,0.019699
cheng2020-anchor,2.0,,29.940883,0.945689,0.001132,0.181329,0.012952
cheng2020-anchor,3.0,,31.310942,0.962551,0.000825,0.268617,0.011608
cheng2020-anchor,4.0,,33.446483,0.97629,0.00049,0.415233,0.00978
cheng2020-anchor,5.0,,35.182192,0.984458,0.000328,0.59305,0.025892
cheng2020-anchor,6.0,,36.760779,0.989505,0.000229,0.804058,0.050742
cheng2020-attn,1.0,,28.465388,0.925792,0.001602,0.114154,0.017112
cheng2020-attn,2.0,,29.794354,0.946341,0.001173,0.172888,0.028229
cheng2020-attn,3.0,,31.350546,0.964293,0.000819,0.267521,0.029793
cheng2020-attn,4.0,,33.431475,0.976784,0.000492,0.424788,0.003213
cheng2020-attn,5.0,,35.023038,0.984111,0.000339,0.593196,0.004948
cheng2020-attn,6.0,,36.676454,0.98936,0.000232,0.804112,0.005729
ftic,1.0,,29.641479,0.937148,0.001229,0.130492,0.004759
ftic,2.0,,31.1435,0.956786,0.000857,0.198267,0.00327
ftic,3.0,,32.689329,0.970247,0.000591,0.298258,0.003169
ftic,4.0,,34.412838,0.980166,0.00039,0.436742,0.001412
ftic,5.0,,36.156429,0.986576,0.000257,0.613575,0.001632
ftic,6.0,,37.903742,0.990749,0.000169,0.839292,0.001195
jpeg,1.0,,29.510842,0.950502,0.001261,0.517471,0.00343
jpeg,2.0,,31.455942,0.972917,0.000811,0.778421,0.001911
jpeg,3.0,,32.68375,0.981313,0.00061,0.992733,0.001055
jpeg,4.0,,33.941996,0.986635,0.000452,1.259117,0.000673
jpeg,5.0,,36.133517,0.99223,0.000267,1.809875,0.000234
jpeg,6.0,,42.301229,0.997741,6e-05,4.007504,3.6e-05
jpegxl,1.0,,31.847067,0.973306,0.000738,0.595558,0.002543
jpegxl,2.0,,33.196696,0.979797,0.000532,0.764242,0.001186
jpegxl,3.0,,35.196129,0.986524,0.000329,1.09095,0.000864
jpegxl,4.0,,36.66995,0.989713,0.000231,1.3827,0.000539
jpegxl,5.0,,38.666067,0.993023,0.000145,1.883229,0.00035
jpegxl,6.0,,41.037883,0.995725,8.3e-05,2.684379,0.000236
mbt2018,1.0,,28.114708,0.921575,0.001777,0.110233,0.107626
mbt2018,2.0,,29.635271,0.943482,0.001228,0.195058,0.092915
mbt2018,3.0,,31.387313,0.962797,0.000807,0.288175,0.038644
mbt2018,4.0,,33.18545,0.975731,0.000526,0.430129,0.067651
mbt2018,5.0,,35.143338,0.983702,0.000326,0.634163,0.144477
mbt2018,6.0,,37.070617,0.989429,0.000206,0.88205,0.167208
mbt2018-mean,1.0,,27.699187,0.917831,0.001942,0.124158,0.141725
mbt2018-mean,2.0,,29.359179,0.94307,0.001307,0.198163,0.076054
mbt2018-mean,3.0,,31.128879,0.961487,0.000855,0.307354,0.05377
mbt2018-mean,4.0,,32.950558,0.975208,0.000554,0.460167,0.039932
mbt2018-mean,5.0,,34.967475,0.983578,0.000338,0.661171,0.041882
mbt2018-mean,6.0,,36.910508,0.989249,0.000213,0.913133,0.017129
tcm,,64.0,30.040433,0.943316,0.001105,0.161133,0.005606
tcm,,128.0,38.0443,0.990782,0.000163,0.869117,0.000807
webp,1.0,,30.193562,0.954364,0.001029,0.377488,0.001229
webp,2.0,,31.709887,0.967062,0.000715,0.526025,0.000596
webp,3.0,,33.008892,0.974692,0.000525,0.672738,0.000439
webp,4.0,,34.104017,0.979959,0.000405,0.820583,0.000386
webp,5.0,,36.184104,0.986761,0.000248,1.154308,0.000256
webp,6.0,,41.659804,0.995877,7e-05,2.798229,7e-05
