Model,Size,p,q,bpp,L_k,L_low,L_high,ODR_k,|Delta_c_k|,s_k,H_k_bits,CE_k(w=2)
cheng2020-attn,256x256,,1.0,0.6681,0.5764,0.1888,0.8223,0.5917,0.0185,0.1825,0.5573,0.8048
cheng2020-anchor,256x256,,1.0,1.0369,0.68,0.1331,0.7956,0.7867,0.045,0.2173,0.6765,0.7055
jpeg,64x64,,1.0,2.0625,0.0717,0.027,0.1211,0.0386,0.0076,0.1035,0.1696,0.9388
cheng2020-anchor,64x64,,1.0,0.9673,0.5069,0.1859,0.9308,0.4732,0.0314,0.1948,0.6605,0.7955
jpegxl,64x64,,1.0,1.9277,0.0134,0.0101,0.0169,0.0068,0.0019,0.0424,0.0396,0.9881
jpegxl,128x128,,1.0,1.4932,0.0113,0.0066,0.014,0.0057,0.001,0.0363,0.0308,0.9897
jpegxl,256x256,,1.0,1.1395,0.0095,0.0059,0.0122,0.0048,0.001,0.0352,0.0249,0.9911
jpegxl,512x512,,1.0,0.9851,0.0077,0.0049,0.0099,0.0039,0.0009,0.0316,0.0194,0.9927
cheng2020-anchor,128x128,,1.0,0.833,0.6498,0.1135,0.79,0.7295,0.033,0.1794,0.6431,0.7729
webp,64x64,,1.0,2.8164,0.0217,0.0048,0.0241,0.0111,0.0034,0.07,0.0627,0.9812
webp,128x128,,1.0,2.5293,0.0178,0.0106,0.0199,0.0091,0.0035,0.0659,0.0488,0.9829
ftic,512x512,,1.0,0.5865,0.0172,0.0146,0.028,0.0088,0.0025,0.0484,0.0389,0.9844
bmshj2018-hyperprior,1024x1024,,1.0,0.5336,0.8868,0.5413,1.0,0.9992,0.0411,0.1492,0.7819,0.3441
bmshj2018-hyperprior,256x256,,1.0,0.545,0.8417,0.4891,0.9999,0.9902,0.0202,0.1181,0.6634,0.5636
bmshj2018-hyperprior,512x512,,1.0,0.5425,0.861,0.514,1.0,0.9959,0.0279,0.1326,0.7704,0.4494
mbt2018,1024x1024,,1.0,0.5653,0.7223,0.4377,0.9991,0.8619,0.021,0.1416,0.6726,0.6437
ftic,1024x1024,,1.0,0.8391,0.0175,0.0143,0.0318,0.0089,0.0024,0.0488,0.0377,0.9839
webp,256x256,,1.0,2.4709,0.0164,0.0107,0.0173,0.0084,0.0035,0.0638,0.0422,0.9839
webp,512x512,,1.0,2.4399,0.0165,0.0115,0.0178,0.0084,0.0035,0.0636,0.0402,0.9839
mbt2018,512x512,,1.0,0.5394,0.7257,0.4394,0.998,0.8675,0.0193,0.14,0.679,0.6731
mbt2018-mean,128x128,,1.0,0.5711,0.7686,0.4838,1.0,0.9303,0.0178,0.1134,0.6108,0.8162
bmshj2018-hyperprior,64x64,,1.0,0.6492,0.8059,0.5518,0.9993,0.9673,0.0166,0.1219,0.5986,0.7561
bmshj2018-hyperprior,128x128,,1.0,0.5859,0.7558,0.4918,0.9999,0.9128,0.0166,0.1078,0.5431,0.7877
jpegxl,1024x1024,,1.0,0.8472,0.0064,0.0036,0.0078,0.0032,0.0006,0.0285,0.0156,0.9939
ftic,256x256,,1.0,0.5892,0.0178,0.0141,0.0277,0.0091,0.0024,0.0481,0.0431,0.9842
webp,1024x1024,,1.0,2.3544,0.0163,0.0118,0.0177,0.0083,0.0034,0.0634,0.0379,0.984
cheng2020-attn,512x512,,1.0,0.6561,0.5754,0.1918,0.8086,0.59,0.0183,0.1924,0.5318,0.795
mbt2018,128x128,,1.0,0.544,0.7016,0.4009,0.9891,0.826,0.0204,0.1328,0.6698,0.8034
mbt2018-mean,512x512,,1.0,0.5054,0.7934,0.4806,0.9999,0.958,0.0315,0.1424,0.6643,0.6939
bmshj2018-factorized,512x512,,1.0,0.103,0.9891,0.8081,1.0,1.0,0.18,0.1611,0.7999,0.054
bmshj2018-factorized,1024x1024,,1.0,0.1003,0.9937,0.8044,1.0,1.0,0.3437,0.1712,0.817,0.0305
mbt2018-mean,64x64,,1.0,0.5112,0.7412,0.4967,0.9956,0.8921,0.0197,0.14,0.6864,0.8643
mbt2018,256x256,,1.0,0.5226,0.7182,0.4159,0.9939,0.855,0.0176,0.1262,0.6893,0.7244
