model,size,angle_deg,L_k,L_low,L_high,q,p,matched_bpp
ftic,256x256,0.0,0.0178616971893999,0.0133252522119601,0.0364629437007895,1.0,,0
ftic,256x256,15.0,0.0172155546449563,0.014648680932149,0.0233926031489941,1.0,,0
ftic,256x256,30.0,0.0161190220362875,0.0142450685744402,0.0234237147962214,1.0,,0
ftic,256x256,45.0,0.0187281962748732,0.0149797451688467,0.0441767502229874,1.0,,0
ftic,256x256,60.0,0.0174146465923867,0.0159932910988249,0.0261919322957731,1.0,,0
ftic,256x256,75.0,0.016966910777783,0.0139374731051468,0.0208118671702903,1.0,,0
ftic,256x256,90.0,0.0181237581908087,0.0139407867281141,0.0380585767663036,1.0,,0
cheng2020-anchor,256x256,0.0,0.6802215722894877,0.1405280899901722,0.8044462523774796,1.0,,0
cheng2020-anchor,256x256,15.0,0.2763306757486333,0.2377654311053708,0.9557506198298912,1.0,,0
cheng2020-anchor,256x256,30.0,0.3452410857756654,0.2547969479395613,0.7916683044437614,1.0,,0
cheng2020-anchor,256x256,45.0,0.4429266674797943,0.1100672452589213,0.8286738734692218,1.0,,0
cheng2020-anchor,256x256,60.0,0.2397428897660655,0.2274104365363058,0.852635465061603,1.0,,0
cheng2020-anchor,256x256,75.0,0.4283170357332602,0.4265386155680445,0.4618997925293742,1.0,,0
cheng2020-anchor,256x256,90.0,0.6607573231896369,0.1459448223914104,0.7840873744814341,1.0,,0
cheng2020-attn,256x256,0.0,0.5767489687885365,0.1685420347865074,0.8267335214818441,1.0,,0
cheng2020-attn,256x256,15.0,0.2844532811155824,0.2547210821172838,0.9538798943182248,1.0,,0
cheng2020-attn,256x256,30.0,0.4791930793527116,0.3811415398830429,0.7539405230410459,1.0,,0
cheng2020-attn,256x256,45.0,0.5333694860504372,0.1160297869324531,0.8742950435537804,1.0,,0
cheng2020-attn,256x256,60.0,0.2761899281290219,0.2666725716109717,0.9265614757846076,1.0,,0
cheng2020-attn,256x256,75.0,0.4098719335453481,0.3611025593604755,0.5639811947424427,1.0,,0
cheng2020-attn,256x256,90.0,0.5829897050553019,0.1723717974638344,0.8238258696061129,1.0,,0
bmshj2018-factorized,256x256,0.0,0.977756787888134,0.7012469118999984,0.999973926009588,1.0,,0
bmshj2018-factorized,256x256,15.0,0.9620722769915714,0.6498067536386933,0.9950246024873408,1.0,,0
bmshj2018-factorized,256x256,30.0,0.9243283824937998,0.7395055509541253,0.9540994050801952,1.0,,0
bmshj2018-factorized,256x256,45.0,0.9389554985396468,0.7165288821739659,0.9573127993554676,1.0,,0
bmshj2018-factorized,256x256,60.0,0.998465113940876,0.6660801398302099,0.999949034368912,1.0,,0
bmshj2018-factorized,256x256,75.0,0.9907117323064074,0.7245722091338362,0.999965711917064,1.0,,0
