codec,med_2d,med_1d,low_2d,high_2d,slice_l0_gap,tile_n,gate_spearman_2d_vs_1d
jpeg,0.000105,0.000424,0.000066,0.000148,0.000799,16,0.9545
webp,0.000400,0.000232,0.000359,0.000621,0.000346,16,0.9545
jpegxl,0.000376,0.000611,0.000420,0.000236,0.001242,16,0.9545
bmshj2018-factorized,0.175575,0.417717,0.023787,0.998407,,16,0.9545
bmshj2018-hyperprior,0.049591,0.135883,0.011600,0.225822,,16,0.9545
mbt2018-mean,0.031500,0.121487,0.010664,0.164059,,16,0.9545
mbt2018,0.032065,0.115480,0.008286,0.157661,,16,0.9545
cheng2020-anchor,0.135840,0.509797,0.008913,0.805123,,16,0.9545
cheng2020-attn,0.057506,0.305261,0.009120,0.791015,,16,0.9545
tcm,0.004283,0.001893,0.003177,0.005330,,16,0.9545
ftic,0.006021,0.004394,0.003101,0.013335,,16,0.9545
