model,setting,bpp,L_k
cheng2020-anchor,q=1,0.832958085462451,0.6497735261809139
cheng2020-anchor,q=2,0.9990149135701358,0.6144755854640288
cheng2020-anchor,q=3,1.137813269160688,0.6375680712468963
cheng2020-anchor,q=4,1.794844638556242,0.4034528298131321
cheng2020-anchor,q=5,2.11678390391171,0.26038591228870683
cheng2020-anchor,q=6,2.5251767644658685,0.29077336134952303
cheng2020-attn,q=1,0.7323341583833098,0.5600954272327576
cheng2020-attn,q=2,0.8306525256484747,0.5315172775231919
cheng2020-attn,q=3,1.062208159826696,0.5394294137621656
cheng2020-attn,q=4,1.8646200904622674,0.3437903024378188
cheng2020-attn,q=5,2.1520913122221828,0.20228916903590738
cheng2020-attn,q=6,2.5295377001166344,0.26948002524505404
bmshj2018-factorized,q=1,0.1265486627817154,0.9537379638348276
bmshj2018-factorized,q=2,0.22033877670764923,0.9161357770936666
bmshj2018-factorized,q=3,0.36452797055244446,0.8440430813559353
bmshj2018-factorized,q=4,0.6782002449035645,0.7372842016572245
bmshj2018-factorized,q=5,0.9886959791183472,0.6228825875657421
bmshj2018-factorized,q=6,1.6134421825408936,0.4451244199838857
bmshj2018-hyperprior,q=1,0.5859283325262368,0.7557997736121285
bmshj2018-hyperprior,q=2,0.9837591461837292,0.6049626623747087
bmshj2018-hyperprior,q=3,1.1414793822914362,0.47439587961258334
bmshj2018-hyperprior,q=4,1.664766289293766,0.3867792516809239
bmshj2018-hyperprior,q=5,1.85465944185853,0.38862506015801185
bmshj2018-hyperprior,q=6,3.0580783039331436,0.1630279033419023
mbt2018-mean,q=1,0.5710936365649104,0.7686045562046314
mbt2018-mean,q=2,0.7165961526334286,0.5915680947726938
mbt2018-mean,q=3,1.5513715222477913,0.4490524301852533
mbt2018-mean,q=4,1.3173946663737297,0.43685019881060494
mbt2018-mean,q=5,3.1612199246883392,0.1480650733732622
mbt2018-mean,q=6,4.320726037025452,0.14869897322249964
mbt2018,q=1,0.5439935405738652,0.7015576485063584
mbt2018,q=2,0.8786214143037796,0.5245066689368902
mbt2018,q=3,1.2947272174060345,0.4526516289670538
mbt2018,q=4,1.6315454989671707,0.3474545288969596
mbt2018,q=5,3.3638955652713776,0.12172696331339816
mbt2018,q=6,3.552159156650305,0.12530170240497202
jpeg,override=1,0.7890625,0.16277279223492402
jpeg,override=6,0.95068359375,0.12768618636812873
jpeg,override=11,1.1748046875,0.10025964146072708
jpeg,override=16,1.412109375,0.07169944202416845
jpeg,override=21,1.62451171875,0.05878442666980788
jpeg,override=26,1.8017578125,0.041798083585846746
jpeg,override=31,1.96875,0.032725735065210704
jpeg,override=36,2.12060546875,0.026723846437936793
jpeg,override=41,2.24853515625,0.022404755135588927
jpeg,override=46,2.37646484375,0.020178037315856157
jpeg,override=51,2.45703125,0.015478602612814252
jpeg,override=56,2.5849609375,0.013977469778687968
jpeg,override=61,2.7236328125,0.011553507480534408
jpeg,override=66,2.8779296875,0.010071480508642094
jpeg,override=71,3.076171875,0.00781629952541929
jpeg,override=76,3.27783203125,0.005956086637672775
jpeg,override=81,3.583984375,0.0036184642997209027
jpeg,override=86,3.978515625,0.00223124611841774
jpeg,override=91,4.53369140625,0.0010688070082092715
jpeg,override=96,5.71435546875,0.00024323126628150726
jpeg,override=100,7.50927734375,1.880596443765148e-05
webp,override=0,1.029296875,0.13920753474612235
webp,override=5,1.921875,0.04258419663079427
webp,override=10,2.201171875,0.029668695429250047
webp,override=15,2.3837890625,0.023040188780243664
webp,override=20,2.529296875,0.017846560622036822
webp,override=25,2.6748046875,0.01413151666126844
webp,override=30,2.8369140625,0.01170961523345948
webp,override=35,2.966796875,0.00935305706629197
webp,override=40,3.0986328125,0.007798108242428103
webp,override=45,3.2001953125,0.006862539815422286
webp,override=50,3.2900390625,0.006093950138402804
webp,override=55,3.4033203125,0.00528388766438409
webp,override=60,3.4873046875,0.004701351498672068
webp,override=65,3.5751953125,0.0041338254592167
webp,override=70,3.6875,0.0035878867023924066
webp,override=75,3.7724609375,0.0032732217035660316
webp,override=80,4.1298828125,0.00198804574244682
webp,override=85,4.513671875,0.001195951838890319
webp,override=90,4.984375,0.0006432803686267641
webp,override=95,5.71875,0.000271346384621729
webp,override=100,6.6904296875,0.00010585766109960648
webp,override=100,6.6904296875,0.00010585766109960648
jpegxl,override=0.3,4.927734375,0.0002711145988207875
jpegxl,override=0.5,4.12451171875,0.0006399336496996644
jpegxl,override=0.8,3.63671875,0.0010066895692585898
jpegxl,override=1.0,3.21728515625,0.0013922062367620613
jpegxl,override=1.5,2.498046875,0.0025795877539411816
jpegxl,override=2.0,2.06884765625,0.004199420644609819
jpegxl,override=2.5,1.94189453125,0.004900898626855055
jpegxl,override=3.0,1.65185546875,0.0072855870477053775
jpegxl,override=4.0,1.4931640625,0.011287910847932181
jpegxl,override=6.0,1.20166015625,0.02164492936696688
jpegxl,override=8.0,1.0732421875,0.030612393075986233
jpegxl,override=15.0,0.78125,0.06934543278384414
